PlayerID,GameID,BetAmount,WinAmount,LossAmount,GameType,Location,Device,SessionID,StartDateTime,EndDateTime,BetCount,WinCount,LossCount,JackpotWin,BonusWin,FreeSpins,Multiplier
76610,427,51.1,36.8,30.7,Roulette,Las Vegas,Desktop,65c4f912-a803-4fc4-b131-c3909c282fdc,2021-04-15T13:09:45Z,2021-04-15T00:53:51Z,11,0,11,1,1,1,1.9
37729,554,20.8,4.7,18.7,Roulette,Monte Carlo,Tablet,f83976a4-1d55-48d7-964d-97bf3f973685,2020-11-05T08:04:16Z,2020-11-05T10:50:31Z,10,4,6,1,0,0,1.8
62748,148,58.2,38.3,40.7,Roulette,Atlantic City,Tablet,a0422afb-3140-4ab8-9912-04686e56cd3b,2023-02-09T02:13:34Z,2023-02-09T03:20:40Z,11,4,7,0,0,0,1.5
21286,678,68.0,50.9,40.8,Slot,Las Vegas,Mobile,9d61cc15-c251-45e1-a128-3cacae8c1b33,2023-04-18T17:29:53Z,2023-04-18T04:14:54Z,19,18,1,0,1,0,1.7
92444,900,19.3,19.1,9.6,Roulette,Macau,Tablet,3e780367-b363-4cc7-b3e3-2693a253391e,2023-04-26T04:03:23Z,2023-04-26T05:38:53Z,18,17,1,0,1,1,1.2
89970,406,93.5,81.8,65.4,Roulette,Macau,Mobile,d466fa1c-90e5-4606-9eec-1c7f56e5d7c4,2024-09-28T16:11:40Z,2024-09-28T16:15:33Z,14,14,0,1,0,0,1.0
14643,348,47.7,7.6,42.9,Poker,Monte Carlo,Mobile,b81707b6-4a74-4162-a095-f9fc632d90b5,2025-02-02T23:56:44Z,2025-02-02T08:18:19Z,9,6,3,0,1,1,1.1
80335,217,44.0,27.3,30.8,Blackjack,Macau,Tablet,312eee3f-e0bd-4fdc-9bbe-f6ac4e34c73a,2022-10-19T08:01:30Z,2022-10-19T09:23:28Z,8,2,6,1,1,1,2.0
49917,236,58.9,53.4,35.3,Blackjack,Atlantic City,Mobile,953bc880-4d89-4b39-b2cc-7515d7c0a124,2021-01-16T00:22:33Z,2021-01-16T02:11:07Z,11,5,6,0,0,0,1.1
65342,66,74.3,34.3,52.0,Slot,Atlantic City,Tablet,f0590d50-3242-41ec-b0dd-4d0ca80d3086,2021-12-21T23:48:51Z,2021-12-21T08:31:31Z,9,8,1,0,0,0,1.3
62039,142,59.4,44.0,35.6,Roulette,Las Vegas,Tablet,95ac5015-11ea-4fa7-bf82-0a68258b7458,2024-11-28T01:51:59Z,2024-11-28T02:26:43Z,8,2,6,0,0,0,1.2
23828,110,66.3,44.4,46.4,Blackjack,Las Vegas,Desktop,20b71351-55ec-4bd2-a8ab-b0adc6ad3953,2024-02-20T22:39:19Z,2024-02-20T07:55:54Z,12,5,7,1,0,1,1.7
70993,80,16.8,5.8,13.4,Baccarat,Las Vegas,Mobile,9c0585e8-872a-40d2-bb3e-9b2b4078c757,2020-03-15T00:46:02Z,2020-03-15T04:34:34Z,18,3,15,1,1,1,1.5
45191,512,36.1,9.6,32.5,Poker,Macau,Mobile,1cb5699d-2897-46ec-96f5-187028175a23,2023-03-26T15:37:12Z,2023-03-26T03:45:59Z,7,0,7,0,0,1,1.3
57695,718,40.8,32.6,28.6,Poker,Las Vegas,Tablet,62fc9ff0-d640-4afc-b9aa-b57550936b6c,2024-11-05T21:16:51Z,2024-11-05T22:27:10Z,7,0,7,1,0,0,1.4
51483,346,63.8,46.1,38.3,Baccarat,Monte Carlo,Desktop,9b81f53d-57e6-4580-a7a4-99e95734adbb,2021-05-14T22:27:53Z,2021-05-14T10:32:19Z,7,6,1,1,1,1,1.1
